origin,destination,count
NBANOH,NBATEX,1
NBATEX,NBANOH,1
NBAHOU,NBAAUS,1
NBAAUS,NBAHOU,1
NBANOH,NBALAD,1
NBALAD,NBANOH,1
NBAMIN,NBAIWA,1
NBAIWA,NBAMIN,1
NBAOKC,NBATUL,1
NBATUL,NBAOKC,1
NBAPHI,NBASPG,1
NBASPG,NBAPHI,1
NBAMIL,NBAMNE,1
NBAMNE,NBAMIL,1
NBASAS,NBAAUS,1
NBAAUS,NBASAS,1
NBAGSW,NBASCW,1
NBASCW,NBAGSW,1
NBAOKC,NBATUL,1
NBATUL,NBAOKC,1
NBASAC,NBASPG,1
NBASPG,NBASAC,1
NBACLE,NBASCW,1
NBASCW,NBACLE,1
NBAPHI,NBABAK,1
NBABAK,NBAPHI,1
NBAMIA,NBASXF,1
NBASXF,NBAMIA,1
NBAATL,NBAMNE,1
NBAMNE,NBAATL,1
NBACLE,NBACAN,1
NBACAN,NBACLE,1
NBABKN,NBACAN,1
NBACAN,NBABKN,1
NBACHA,NBASXF,1
NBASXF,NBACHA,1
NBAMIL,NBAFWN,1
NBAFWN,NBAMIL,1
NBAPHI,NBAIWA,1
NBAIWA,NBAPHI,1
NBABOS,NBAMNE,1
NBAMNE,NBABOS,1
NBAORL,NBASCW,1
NBASCW,NBAORL,1
NBAORL,NBASPG,1
NBASPG,NBAORL,1
NBAATL,NBAAUS,1
NBAAUS,NBAATL,1
NBAHOU,NBARGV,1
NBARGV,NBAHOU,1
NBACHI,NBAIWA,1
NBAIWA,NBACHI,1
NBALAL,NBALAD,1
NBALAD,NBALAL,1
NBASAS,NBAIWA,1
NBAIWA,NBASAS,1
NBABOS,NBADEL,1
NBADEL,NBABOS,1
NBABOS,NBARGV,1
NBARGV,NBABOS,1
NBALAL,NBALAD,1
NBALAD,NBALAL,1
NBAPHI,NBASCW,1
NBASCW,NBAPHI,1
NBAATL,NBABAK,1
NBABAK,NBAATL,1
NBANYK,NBAERI,1
NBAERI,NBANYK,1
NBAMEM,NBASCW,1
NBASCW,NBAMEM,1
NBALAL,NBADEL,1
NBADEL,NBALAL,1
NBAMEM,NBARGV,1
NBARGV,NBAMEM,1
NBACHA,NBATEX,1
NBATEX,NBACHA,1
NBASAS,NBALAD,1
NBALAD,NBASAS,1
NBAUTA,NBAIWA,1
NBAIWA,NBAUTA,1
